id;date;details;status;payment_method;payment_date;payment_amount
1;2019-08-26T16:39:02;Principal Pennsylvania dynamic;ISSUED;PAYPAL;2019-08-26T11:54:16;49262
2;2019-08-26T16:14:34;grow;ISSUED;CASH_ON_DELIVERY;2019-08-26T16:37:52;96217
3;2019-08-26T12:43:33;Glen Refined;ISSUED;CREDIT_CARD;2019-08-26T08:59:14;4315
4;2019-08-26T14:35:12;Sleek Frozen Chips Senior Optional;PAID;CASH_ON_DELIVERY;2019-08-26T13:06:37;90115
5;2019-08-26T04:38:27;Product;ISSUED;CREDIT_CARD;2019-08-26T06:48:25;46369
6;2019-08-26T13:00:46;Persevering analyzing;ISSUED;CREDIT_CARD;2019-08-26T07:51:52;68473
7;2019-08-26T15:49:41;Frozen;CANCELLED;CREDIT_CARD;2019-08-26T20:20:42;93272
8;2019-08-26T01:17:29;Aruba Chair portals;ISSUED;CASH_ON_DELIVERY;2019-08-26T02:25:53;84211
9;2019-08-26T08:40:24;Practical Steel Shirt Plastic Movies;CANCELLED;CREDIT_CARD;2019-08-26T08:17:15;76898
10;2019-08-26T04:54:16;program enhance Multi-channelled;CANCELLED;CASH_ON_DELIVERY;2019-08-26T04:09:48;61812
