id;placed_date;status;code
1;2019-08-25T23:55:44;PENDING;Soap Tasty Metal Sausages Outdoors
2;2019-08-26T08:16:21;CANCELLED;North Carolina Granite
3;2019-08-26T02:51:45;COMPLETED;Branding Dynamic black
4;2019-08-26T20:39:59;COMPLETED;Ergonomic Rubber Chicken
5;2019-08-26T14:15:14;CANCELLED;quantifying Garden
6;2019-08-26T02:47:02;PENDING;Solomon Islands Dollar
7;2019-08-26T13:58:16;PENDING;intermediate Table quantify
8;2019-08-26T02:58:02;CANCELLED;Robust Louisiana
9;2019-08-26T01:31:14;CANCELLED;compress Fantastic Global
10;2019-08-26T10:12:18;COMPLETED;Fantastic Small Frozen Salad bypassing
